,product,date,rating,title,reviews,combined,sentiment,sentiment_taste,sentiment_flavor,sentiment_price,sentiment_package,sentiment_value,sentiment_packaging
74,Amazon.com: Customer reviews: Alani Energy Drink,"December 8, 2023",1.0,overflowing,get wrong love drink package every one open violently overflow everywhere sure shipped need fix,overflowing get wrong love drink package every one open violently overflow everywhere sure shipped need fix,0,,,,-0.1027,,
76,Amazon.com: Customer reviews: Alani Energy Drink,"December 4, 2023",1.0,much grape,love energy drink grape one would think flavor reasonable,much grape love energy drink grape one would think flavor reasonable,0,,0.743,,,,
77,Amazon.com: Customer reviews: Alani Energy Drink,"December 3, 2023",1.0,waste money,box open damaged drink explode open flavor buy,waste money box open damaged drink explode open flavor buy,0,,-0.6908,,,,
86,Amazon.com: Customer reviews: Alani Energy Drink,"November 4, 2023",1.0,overpowering artificially sweetened,expecting something like energy drink stuff taste like many synthetic sweetener gone awry,overpowering artificially sweetened expecting something like energy drink stuff taste like many synthetic sweetener gone awry,0,0.7269,,,,,
88,Amazon.com: Customer reviews: Alani Energy Drink,"November 2, 2023",1.0,something case,dont know deal every single case funny taste almost exploded opening always buy target never problem case amazon,something case dont know deal every single case funny taste almost exploded opening always buy target never problem case amazon,0,0.5632,,,,,
89,Amazon.com: Customer reviews: Alani Energy Drink,"October 27, 2023",1.0,sent empty,empty included package closed top nothing inside,sent empty empty included package closed top nothing inside,0,,,,-0.2023,,
90,Amazon.com: Customer reviews: Alani Energy Drink,"October 23, 2023",1.0,package open missing two can,product damaged box missing two can package,package open missing two can product damaged box missing two can package,0,,,,-0.743,,
91,Amazon.com: Customer reviews: Alani Energy Drink,"October 18, 2023",1.0,package came busted,box busted well many can inside throw away considering basically destroyed,package came busted box busted well many can inside throw away considering basically destroyed,0,,,,-0.2732,,
92,Amazon.com: Customer reviews: Alani Energy Drink,"October 17, 2023",1.0,package came damaged,love alani nu auto ship great package yesterday came damaged get replacement can damaged even stand frustrating,package came damaged love alani nu auto ship great package yesterday came damaged get replacement can damaged even stand frustrating,0,,,,-0.3182,,
100,Amazon.com: Customer reviews: Alani Energy Drink,"April 12, 2024",2.0,received wrong flavor,gave star like ordered juicy peach received mimosa let since peach favorite hence ordered return either,received wrong flavor gave star like ordered juicy peach received mimosa let since peach favorite hence ordered return either,0,,0.34,,,,
104,Amazon.com: Customer reviews: Alani Energy Drink,"April 6, 2024",2.0,love alani,ordered orange kiss got mimosa like flavor fine annoyed got wrong product,love alani ordered orange kiss got mimosa like flavor fine annoyed got wrong product,0,,0.6808,,,,
